title,creator,editor,date,source,description,subject,language,location,latitude,longitude,format_original,format,youtubeid,copyright,filename,image_link,source_link,objectid,notes
"H. Granville Barker, Clement's Inn","Coburn, Alvin Langdon",,1906-03-27,Wikimedia Commons,Photograph of H. Granville-Barker,director;histoircal context; photograph,,,,,photograph,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Harley_Granville-Barker.jpg,,https://commons.wikimedia.org/wiki/Category:Harley_Granville-Barker#/media/File:Harley_Granville-Barker.jpg,midsummer0046,
“Actors or Gramophones: The Paradoxes of Granville Barker.”,"Mazer, Cary M.",,1984,"The Johns Hopkings University Press, Theatre Journal vol. 36 no. 1",Historical reference and examintion of an interview of an actor in one of Granville-Barker's productions,historical contect; interpertation;acting; directing,eng,"Baltimore, MD",39.32122367715538,-76.6167840595428,journal article,text/html,,,https://www.jstor.org/stable/3207357,,,midsummer0047,
The Granville-Barker Shakespeare Productions; A Study on Promptbooks,"Kelly, Hellen Marie Teresa",,1965,University of Michigan,Case study Shakespear's productions,historical context; cast; character,eng,"Ann Arbor, MI",42.285999807355964,-83.74284133148547,prompt book,text/html,,,https://uidaho.idm.oclc.org/login?url=https://www-proquest-com.uidaho.idm.oclc.org/dissertations-theses/granville-barker-shakespeare-productions-study/docview/302185580/se-2?accountid=14551,,,midsummer0048,
"""Buonarroti Battle of the Centaurs""",Michelangelo,,1492,Wikimedia Commons,"Centaurs were fantastic beings, half man, and half horse. The upper parts of their bodies were human, while rear parts were those of a horse. They were brutal and behaved like beasts, lived in mountains and forests, and ate raw flesh. Two of the centaurs, Chiron and Pholus, were of different origin, and consequently of different habits and behavior. Chiron and Pholus were hospitable, charitable and loved their fellows, shunning violence",script; historical context,eng,"Florence, ITALY",43.76801026540146,11.25538589966884,sculpture,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/MICHELANGELO%2C_Buonarroti_Battle_of_the_Centaurs%2C_1492.jpg,,"https://commons.wikimedia.org/wiki/File:MICHELANGELO,_Buonarroti_Battle_of_the_Centaurs,_1492.jpg",midsummer0049,
"""Death of Orpheus""","Lévy, Émile",,1866,Wikimedia Commons,,folklore; mythology; historical context; script,eng,"Paris, FRANCE",48.864716,2.349014,painting,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Death_of_Orpheus_by_%C3%89mile_L%C3%A9vy_%281866%29.jpg/378px-Death_of_Orpheus_by_%C3%89mile_L%C3%A9vy_%281866%29.jpg,,https://commons.wikimedia.org/wiki/File:Death_of_Orpheus_by_%C3%89mile_L%C3%A9vy_(1866).jpg,midsummer0050,
"""The Song and Dance of 'A Midsummer Night's Dream' at the Savoy","Butterworth, George",,1914,The English Folk-dance Society's Journal,Description of dances and music included in the production,music; dances; fairies,eng,"London, UK",51.53927313377856,-0.1264391101432793,book,text/html,,,https://www.jstor.org/stable/4520942,,,midsummer0051,
Mendelssohn Time and Memory: The Romantic Conception of Cyclic Form,"Taylor, Benedict",,2011,Cambridge University Press,Book describing Mendelssohn's musical themes and compositions,music; romantic; historical contex; Mendelssohn,eng,"New York, NY ",40.79703359020984,-74.0110608,book,text/html,,,http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=807198,,,midsummer0052,
"“Mendelssohn's Overture to 'A Midsummer Night's Dream'""","Grove, George",,1903,Musical Times Publucations,Article describing the musical themes and characters that appear in the Overture,music; Mendelssohn; fairies; Bottom; Oberon; lovers,eng,"London, UK",51.53927313377856,-0.1264391101432793,article,text/html,,,www.jstor.org/stable/905298,,,midsummer0053,
"“Reading Shakespeare, Seeing Mendelssohn: Concert Readings of ‘A Midsummer Night's Dream’""","Kimber, Marian Wilson",,2006,Oxford University Press,"Descriptions of Mendelssohn's musical phrasing, and imagery painting",music; Mendelssohn; historical context,eng,"Oxford, UK",51.75848127967718,-1.2656021575104468,chapter,text/html,,y,www.jstor.org/stable/25172840,,,midsummer0054,
"""Shakespeare's Treasure"" ","Kyle, Peter ",,2015-03-03,Shakespeare Birthplace Trust,"An Article featuring objects from the legal, political, and financial world of Shakespeare. ",historical context,eng,"England, Uk ",52.1917° N,1.7083° W,article,text/html,,,https://www.shakespeare.org.uk/explore-shakespeare/blogs/shakespeares-treasures/,,,midsummer0055,
